"datetime","location","t_amb","t_ref","t_sup_prim","t_ret_prim","t_sup_sec","t_ret_sec","e","pe"
2024-04-29 13:41:00.000,TPS Lamela L8,19.9,43.0,19.9,19.7,21.1,21.4,8948.533,0.0
2024-04-29 13:38:00.000,TPS Lamela L12,30.1,44.0,20.3,19.9,22.5,21.0,9070.969,0.0
2024-04-29 13:38:00.000,TPS Lamela L17,22.8,44.0,20.4,20.0,22.9,20.5,17940.415,0.0
2024-04-29 13:38:00.000,TPS Lamela L22,21.9,44.0,20.1,20.2,23.6,23.2,6979.36,0.0
2024-04-29 13:38:00.000,TPS Lamela L4,22.4,44.0,20.3,20.0,21.8,22.0,18187.711,0.0
2024-04-29 16:50:00.000,TPS Lamela L4,22.9,44.0,20.3,20.0,21.7,22.0,18187.711,0.0
2024-04-29 16:50:00.000,TPS Lamela L8,20.4,43.0,19.9,19.7,21.1,21.2,8948.533,0.0
2024-04-29 16:47:00.000,TPS Lamela L12,44.2,44.0,20.2,19.9,22.5,21.1,9070.969,0.0
2024-04-29 16:47:00.000,TPS Lamela L17,22.6,44.0,20.4,20.0,22.7,20.5,17940.415,0.0
2024-04-29 16:47:00.000,TPS Lamela L22,22.3,44.0,20.3,20.3,23.5,23.1,6979.36,0.0
2024-04-29 16:47:00.000,TPS Lamela L4,22.8,44.0,20.3,20.0,21.6,21.8,18187.711,0.0
2024-04-29 16:47:00.000,TPS Lamela L8,20.4,43.0,19.9,19.7,21.0,21.2,8948.533,0.0
2024-04-29 18:11:00.000,TPS Lamela L12,37.1,44.0,20.2,19.9,22.6,20.9,9070.969,0.0
2024-04-29 18:11:00.000,TPS Lamela L17,20.4,44.0,20.4,19.9,22.6,20.6,17940.415,0.0
2024-04-29 18:11:00.000,TPS Lamela L22,21.0,44.0,20.3,20.3,23.5,23.3,6979.36,0.0
2024-04-29 18:11:00.000,TPS Lamela L4,20.3,44.0,20.3,20.0,21.8,22.0,18187.711,0.0
2024-04-29 18:11:00.000,TPS Lamela L8,18.9,43.0,19.9,19.7,21.1,21.2,8948.533,0.0
2024-04-29 18:08:00.000,TPS Lamela L12,36.9,44.0,20.2,19.9,22.6,21.0,9070.969,0.0
2024-04-29 18:08:00.000,TPS Lamela L17,20.3,44.0,20.4,20.0,22.7,20.5,17940.415,0.0
2024-04-29 16:50:00.000,TPS Lamela L12,44.2,44.0,20.2,19.9,22.6,21.1,9070.969,0.0
2024-04-29 16:50:00.000,TPS Lamela L17,22.7,44.0,20.4,20.0,22.7,20.5,17940.415,0.0
2024-04-29 16:50:00.000,TPS Lamela L22,22.6,44.0,20.3,20.3,23.6,23.2,6979.36,0.0
2024-04-29 11:53:00.000,TPS Lamela L17,22.3,44.0,20.4,20.0,22.8,20.5,17940.415,0.0
2024-04-29 11:53:00.000,TPS Lamela L22,20.8,44.0,20.1,20.2,23.6,23.4,6979.36,0.0
2024-04-29 11:53:00.000,TPS Lamela L4,22.1,44.0,20.3,20.0,21.8,22.0,18187.711,0.0
2024-04-29 11:53:00.000,TPS Lamela L8,19.5,43.0,20.0,19.7,21.0,21.3,8948.533,0.0
2024-04-29 11:50:00.000,TPS Lamela L12,26.0,44.0,20.3,19.9,22.5,21.0,9070.969,0.0
2024-04-29 11:50:00.000,TPS Lamela L17,22.2,44.0,20.4,19.9,22.7,20.4,17940.415,0.0
2024-04-29 11:50:00.000,TPS Lamela L22,20.8,44.0,20.1,20.2,23.7,23.3,6979.36,0.0
2024-04-29 11:50:00.000,TPS Lamela L4,22.0,44.0,20.3,20.0,21.6,21.8,18187.711,0.0
2024-04-29 11:50:00.000,TPS Lamela L8,19.4,43.0,20.0,19.7,20.9,21.3,8948.533,0.0
2024-04-29 11:47:00.000,TPS Lamela L12,26.0,44.0,20.3,19.9,22.5,20.9,9070.969,0.0
2024-04-29 11:47:00.000,TPS Lamela L17,22.3,44.0,20.4,19.9,22.8,20.5,17940.415,0.0
2024-04-29 11:47:00.000,TPS Lamela L22,20.8,44.0,20.1,20.1,23.7,23.4,6979.36,0.0
2024-04-29 11:47:00.000,TPS Lamela L4,22.0,44.0,20.4,20.0,21.7,21.9,18187.711,0.0
2024-04-29 11:47:00.000,TPS Lamela L8,19.5,43.0,20.0,19.7,21.1,21.2,8948.533,0.0
2024-04-29 11:44:00.000,TPS Lamela L12,25.9,44.0,20.3,19.9,22.5,21.0,9070.969,0.0
2024-04-29 11:44:00.000,TPS Lamela L17,22.3,44.0,20.4,19.9,22.7,20.4,17940.415,0.0
2024-04-29 11:44:00.000,TPS Lamela L22,20.7,44.0,20.1,20.1,23.6,23.3,6979.36,0.0
2024-04-29 11:44:00.000,TPS Lamela L4,22.0,44.0,20.3,19.9,21.5,21.9,18187.711,0.0
2024-04-29 11:44:00.000,TPS Lamela L8,19.3,43.0,20.0,19.7,21.0,21.2,8948.533,0.0
2024-04-29 11:41:00.000,TPS Lamela L12,25.6,44.0,20.3,19.9,22.5,21.0,9070.969,0.0
2024-04-29 11:41:00.000,TPS Lamela L17,22.3,44.0,20.4,19.9,22.8,20.5,17940.415,0.0
